"""imparfait""","""empty""","""je""","""tu""","""il / elle/ on""","""nous""","""vous""","""ils / elles"""
"""abandonner""","""to abandon""","""abandonnais""","""abandonnais""","""abandonnait""","""abandonnions""","""abandonniez""","""abandonnaient"""
"""acheter""","""to buy""","""achetais""","""achetais""","""achetait""","""achetions""","""achetiez""","""achetaient"""
"""admirer""","""to admire""","""admirais""","""admirais""","""admirait""","""admirions""","""admiriez""","""admiraient"""
"""adorer""","""to adore""","""adorais""","""adorais""","""adorait""","""adorions""","""adoriez""","""adoraient"""
"""aider""","""to help""","""aidais""","""aidais""","""aidait""","""aidions""","""aidiez""","""aidaient"""
"""aimer""","""to like, love""","""aimais""","""aimais""","""aimait""","""aimions""","""aimiez""","""aimaient"""
"""ajouter""","""to add""","""ajoutais""","""ajoutais""","""ajoutait""","""ajoutions""","""ajoutiez""","""ajoutaient"""
"""appeler""","""to call""","""appelais""","""appelais""","""appelait""","""appelions""","""appeliez""","""appelaient"""
"""apporter""","""to bring""","""apportais""","""apportais""","""apportait""","""apportions""","""apportiez""","""apportaient"""
"""arriver""","""to arrive""","""arrivais""","""arrivais""","""arrivait""","""arrivions""","""arriviez""","""arrivaient"""
"""attraper""","""to catch""","""attrapais""","""attrapais""","""attrapait""","""attrapions""","""attrapiez""","""attrapaient"""
"""augmenter""","""to increase""","""augmentais""","""augmentais""","""augmentait""","""augmentions""","""augmentiez""","""augmentaient"""
"""bouger""","""to move""","""bougeais""","""bougeais""","""bougeait""","""bougions""","""bougiez""","""bougeaient"""
"""camper""","""to camp""","""campais""","""campais""","""campait""","""campions""","""campiez""","""campaient"""
"""changer""","""to change""","""changeais""","""changeais""","""changeait""","""changions""","""changiez""","""changeaient"""
"""chanter""","""to sing""","""chantais""","""chantais""","""chantait""","""chantions""","""chantiez""","""chantaient"""
"""chercher""","""to look for""","""cherchais""","""cherchais""","""cherchait""","""cherchions""","""cherchiez""","""cherchaient"""
"""commander""","""to order""","""commandais""","""commandais""","""commandait""","""commandions""","""commandiez""","""commandaient"""
"""compter""","""to count""","""comptais""","""comptais""","""comptait""","""comptions""","""comptiez""","""comptaient"""
"""consulter""","""to consult""","""consultais""","""consultais""","""consultait""","""consultions""","""consultiez""","""consultaient"""
"""continuer""","""to continue""","""continuais""","""continuais""","""continuait""","""continuions""","""continuiez""","""continuaient"""
"""couper""","""to cut""","""coupais""","""coupais""","""coupait""","""coupions""","""coupiez""","""coupaient"""
"""créer""","""to create""","""créais""","""créais""","""créait""","""créions""","""créiez""","""créaient"""
"""danser""","""to dance""","""dansais""","""dansais""","""dansait""","""dansions""","""dansiez""","""dansaient"""
"""décider""","""to decide""","""décidais""","""décidais""","""décidait""","""décidions""","""décidiez""","""décidaient"""
"""détester""","""to hate""","""détestais""","""détestais""","""détestait""","""détestions""","""détestiez""","""détestaient"""
"""diminuer""","""to decrease""","""diminuais""","""diminuais""","""diminuait""","""diminuions""","""diminuiez""","""diminuaient"""
"""dîner""","""to dine""","""dînais""","""dînais""","""dînait""","""dînions""","""dîniez""","""dînaient"""
"""donner""","""to give""","""donnais""","""donnais""","""donnait""","""donnions""","""donniez""","""donnaient"""
"""échanger""","""to exchange""","""échangeais""","""échangeais""","""échangeait""","""échangions""","""échangiez""","""échangeaient"""
"""écouter""","""to listen""","""écoutais""","""écoutais""","""écoutait""","""écoutions""","""écoutiez""","""écoutaient"""
"""embaucher""","""to hire""","""embauchais""","""embauchais""","""embauchait""","""embauchions""","""embauchiez""","""embauchaient"""
"""embrasser""","""to kiss""","""embrassais""","""embrassais""","""embrassait""","""embrassions""","""embrassiez""","""embrassaient"""
"""emmener""","""to take someone""","""emmenais""","""emmenais""","""emmenait""","""emmenions""","""emmeniez""","""emmenaient"""
"""emprunter""","""to borrow""","""empruntais""","""empruntais""","""empruntait""","""empruntions""","""empruntiez""","""empruntaient"""
"""enseigner""","""to teach""","""enseignais""","""enseignais""","""enseignait""","""enseignions""","""enseigniez""","""enseignaient"""
"""entrer""","""to enter""","""entrais""","""entrais""","""entrait""","""entrions""","""entriez""","""entraient"""
"""essayer""","""to try""","""essayais""","""essayais""","""essayait""","""essayions""","""essayiez""","""essayaient"""
"""étudier""","""to study""","""étudiais""","""étudiais""","""étudiait""","""étudiions""","""étudiiez""","""étudiaient"""
"""éviter""","""to avoid""","""évitais""","""évitais""","""évitait""","""évitions""","""évitiez""","""évitaient"""
"""exiger""","""to demand""","""exigeais""","""exigeais""","""exigeait""","""exigions""","""exigiez""","""exigeaient"""
"""expliquer""","""to explain""","""expliquais""","""expliquais""","""expliquait""","""expliquions""","""expliquiez""","""expliquaient"""
"""fermer""","""to close""","""fermais""","""fermais""","""fermait""","""fermions""","""fermiez""","""fermaient"""
"""garder""","""to keep""","""gardais""","""gardais""","""gardait""","""gardions""","""gardiez""","""gardaient"""
"""habiter""","""to live""","""habitais""","""habitais""","""habitait""","""habitions""","""habitiez""","""habitaient"""
"""indiquer""","""to indicate""","""indiquais""","""indiquais""","""indiquait""","""indiquions""","""indiquiez""","""indiquaient"""
"""inviter""","""to invite""","""invitais""","""invitais""","""invitait""","""invitions""","""invitiez""","""invitaient"""
"""jouer""","""to play""","""jouais""","""jouais""","""jouait""","""jouions""","""jouiez""","""jouaient"""
"""laisser""","""to leave, to let""","""laissais""","""laissais""","""laissait""","""laissions""","""laissiez""","""laissaient"""
"""laver""","""to wash""","""lavais""","""lavais""","""lavait""","""lavions""","""laviez""","""lavaient"""
"""louer""","""to rent""","""louais""","""louais""","""louait""","""louions""","""louiez""","""louaient"""
"""manger""","""to eat""","""mangeais""","""mangeais""","""mangeait""","""mangions""","""mangiez""","""mangeaient"""
"""marcher""","""to walk""","""marchais""","""marchais""","""marchait""","""marchions""","""marchiez""","""marchaient"""
"""monter""","""to go up""","""montais""","""montais""","""montait""","""montions""","""montiez""","""montaient"""
"""nager""","""to swim""","""nageais""","""nageais""","""nageait""","""nagions""","""nagiez""","""nageaient"""
"""naviguer""","""to navigate""","""naviguais""","""naviguais""","""naviguait""","""naviguions""","""naviguiez""","""naviguaient"""
