"""passé composé""","""empty""","""je""","""tu""","""il ""","""elle""","""nous""","""vous""","""ils""","""elles"""
"""abandonner""","""to abandon""","""ai abandonné""","""as abandonné""","""a abandonné""","""a abandonné""","""avons abandonné""","""avez abandonné""","""ont abandonné""","""ont abandonné"""
"""acheter""","""to buy""","""ai acheté""","""as acheté""","""a acheté""","""a acheté""","""avons acheté""","""avez acheté""","""ont acheté""","""ont acheté"""
"""admirer""","""to admire""","""ai admiré""","""as admiré""","""a admiré""","""a admiré""","""avons admiré""","""avez admiré""","""ont admiré""","""ont admiré"""
"""adorer""","""to adore""","""ai adoré""","""as adoré""","""a adoré""","""a adoré""","""avons adoré""","""avez adoré""","""ont adoré""","""ont adoré"""
"""aider""","""to help""","""ai aidé""","""as aidé""","""a aidé""","""a aidé""","""avons aidé""","""avez aidé""","""ont aidé""","""ont aidé"""
"""aimer""","""to like, love""","""ai aimé""","""as aimé""","""a aimé""","""a aimé""","""avons aimé""","""avez aimé""","""ont aimé""","""ont aimé"""
"""ajouter""","""to add""","""ai ajouté""","""as ajouté""","""a ajouté""","""a ajouté""","""avons ajouté""","""avez ajouté""","""ont ajouté""","""ont ajouté"""
"""appeler""","""to call""","""ai appelé""","""as appelé""","""a appelé""","""a appelé""","""avons appelé""","""avez appelé""","""ont appelé""","""ont appelé"""
"""apporter""","""to bring""","""ai apporté""","""as apporté""","""a apporté""","""a apporté""","""avons apporté""","""avez apporté""","""ont apporté""","""ont apporté"""
"""arriver""","""to arrive""","""suis arrivé""","""es arrivé""","""est arrivé""","""est arrivée""","""sommes arrivés""","""êtes arrivés""","""sont arrivés""","""sont arrivées"""
"""attraper""","""to catch""","""ai attrapé""","""as attrapé""","""a attrapé""","""a attrapé""","""avons attrapé""","""avez attrapé""","""ont attrapé""","""ont attrapé"""
"""augmenter""","""to increase""","""ai augmenté""","""as augmenté""","""a augmenté""","""a augmenté""","""avons augmenté""","""avez augmenté""","""ont augmenté""","""ont augmenté"""
"""bouger""","""to move""","""ai bougé""","""as bougé""","""a bougé""","""a bougé""","""avons bougé""","""avez bougé""","""ont bougé""","""ont bougé"""
"""camper""","""to camp""","""ai campé""","""as campé""","""a campé""","""a campé""","""avons campé""","""avez campé""","""ont campé""","""ont campé"""
"""changer""","""to change""","""ai changé""","""as changé""","""a changé""","""a changé""","""avons changé""","""avez changé""","""ont changé""","""ont changé"""
