"""présent""","""empty""","""je""","""tu""","""il / elle/ on""","""nous""","""vous""","""ils / elles"""
"""abandonner""","""to abandon""","""abandonne""","""abandonnes""","""abandonne""","""abandonnons""","""abandonnez""","""abandonnent"""
"""acheter""","""to buy""","""achète""","""achètes""","""achète""","""achetons""","""achetez""","""achètent"""
"""admirer""","""to admire""","""admire""","""admires""","""admire""","""admirons""","""admirez""","""admirent"""
"""adorer""","""to adore""","""adore""","""adores""","""adore""","""adorons""","""adorez""","""adorent"""
"""aider""","""to help""","""aide""","""aides""","""aide""","""aidons""","""aidez""","""aident"""
"""aimer""","""to like, love""","""aime""","""aimes""","""aime""","""aimons""","""aimez""","""aiment"""
"""ajouter""","""to add""","""ajoute""","""ajoutes""","""ajoute""","""ajoutons""","""ajoutez""","""ajoutent"""
"""appeler""","""to call""","""appelle""","""appelles""","""appelle""","""appelons""","""appelez""","""appellent"""
"""apporter""","""to bring""","""apporte""","""apportes""","""apporte""","""apportons""","""apportez""","""apportent"""
"""arriver""","""to arrive""","""arrive""","""arrives""","""arrive""","""arrivons""","""arrivez""","""arrivent"""
"""attraper""","""to catch""","""attrape""","""attrapes""","""attrape""","""attrapons""","""attrapez""","""attrapent"""
"""augmenter""","""to increase""","""augmente""","""augmentes""","""augmente""","""augmentons""","""augmentez""","""augmentent"""
"""bouger""","""to move""","""bouge""","""bouges""","""bouge""","""bougeons""","""bougez""","""bougent"""
"""camper""","""to camp""","""campe""","""campes""","""campe""","""campons""","""campez""","""campent"""
"""changer""","""to change""","""change""","""changes""","""change""","""changeons""","""changez""","""changent"""
"""chanter""","""to sing""","""chante""","""chantes""","""chante""","""chantons""","""chantez""","""chantent"""
"""chercher""","""to look for""","""cherche""","""cherches""","""cherche""","""cherchons""","""cherchez""","""cherchent"""
"""commander""","""to order""","""commande""","""commandes""","""commande""","""commandons""","""commandez""","""commandent"""
"""compter""","""to count""","""compte""","""comptes""","""compte""","""comptons""","""comptez""","""comptent"""
"""consulter""","""to consult""","""consulte""","""consultes""","""consulte""","""consultons""","""consultez""","""consultent"""
"""continuer""","""to continue""","""continue""","""continues""","""continue""","""continuons""","""continuez""","""continuent"""
"""couper""","""to cut""","""coupe""","""coupes""","""coupe""","""coupons""","""coupez""","""coupent"""
"""créer""","""to create""","""crée""","""crées""","""crée""","""créons""","""créez""","""créent"""
"""danser""","""to dance""","""danse""","""danses""","""danse""","""dansons""","""dansez""","""dansent"""
"""décider""","""to decide""","""décide""","""décides""","""décide""","""décidons""","""décidez""","""décident"""
"""détester""","""to hate""","""déteste""","""détestes""","""déteste""","""détestons""","""détestez""","""détestent"""
"""diminuer""","""to decrease""","""diminue""","""diminues""","""diminue""","""diminuons""","""diminuez""","""diminuent"""
"""dîner""","""to dine""","""dîne""","""dînes""","""dîne""","""dînons""","""dînez""","""dînent"""
"""donner""","""to give""","""donne""","""donnes""","""donne""","""donnons""","""donnez""","""donnent"""
"""échanger""","""to exchange""","""échange""","""échanges""","""échange""","""échangeons""","""échangez""","""échangent"""
"""écouter""","""to listen""","""écoute""","""écoutes""","""écoute""","""écoutons""","""écoutez""","""écoutent"""
"""embaucher""","""to hire""","""embauche""","""embauches""","""embauche""","""embauchons""","""embauchez""","""embauchent"""
"""embrasser""","""to kiss""","""embrasse""","""embrasses""","""embrasse""","""embrassons""","""embrassez""","""embrassent"""
"""emmener""","""to take someone""","""emmène""","""emmènes""","""emmène""","""emmenons""","""emmenez""","""emmènent"""
"""emprunter""","""to borrow""","""emprunte""","""empruntes""","""emprunte""","""empruntons""","""empruntez""","""empruntent"""
"""enseigner""","""to teach""","""enseigne""","""enseignes""","""enseigne""","""enseignons""","""enseignez""","""enseignent"""
"""entrer""","""to enter""","""entre""","""entres""","""entre""","""entrons""","""entrez""","""entrent"""
"""essayer""","""to try""","""essaie""","""essaies""","""essaie""","""essayons""","""essayez""","""essaient"""
"""étudier""","""to study""","""étudie""","""étudies""","""étudie""","""étudions""","""étudiez""","""étudient"""
"""éviter""","""to avoid""","""évite""","""évites""","""évite""","""évitons""","""évitez""","""évitent"""
"""exiger""","""to demand""","""exige""","""exiges""","""exige""","""exigeons""","""exigez""","""exigent"""
"""expliquer""","""to explain""","""explique""","""expliques""","""explique""","""expliquons""","""expliquez""","""expliquent"""
